contract_id,client_id,contract_type,status,date_eff
78245,532884,HYPOTHEQUE,ACTIF,2026-10-07T00:00:00
21239,691728,PRET,FERME,2026-10-07T00:00:00
21042,537596,PRET,ACTIF,2026-10-07T00:00:00
42567,330241,PRET,ACTIF,2026-10-07T00:00:00
16133,953513,HYPOTHEQUE,ACTIF,2026-10-07T00:00:00
55117,674203,HYPOTHEQUE,FERME,2026-10-07T00:00:00
30828,874459,HYPOTHEQUE,ACTIF,2026-10-07T00:00:00
81645,764509,PRET,ACTIF,2026-10-07T00:00:00
29536,511884,PRET,FERME,2026-10-07T00:00:00
91727,560480,PRET,FERME,2026-10-07T00:00:00
14646,777085,HYPOTHEQUE,ACTIF,2026-10-07T00:00:00
80889,771043,HYPOTHEQUE,ACTIF,2026-10-07T00:00:00
