transaction_id,client_id,account_id,amount,currency,transaction_ts
2049926,838091,2564207,-3155.29,USD,2026-12-15T00:00:00
9423916,377756,2742175,3300.03,USD,2026-12-15T00:00:00
1847765,989769,6541105,537.53,USD,2026-12-15T00:00:00
4866693,861100,4389956,-4132.69,CAD,2026-12-15T00:00:00
7843442,721047,1679519,2197.22,CAD,2026-12-15T00:00:00
6186374,271715,1351115,3816.2,CAD,2026-12-15T00:00:00
2139214,152169,7947450,2730.21,CAD,2026-12-15T00:00:00
9903956,576641,8172979,-4753.18,USD,2026-12-15T00:00:00
4820507,608702,6778316,-935.11,CAD,2026-12-15T00:00:00
2330809,223697,2697679,1542.82,USD,2026-12-15T00:00:00
8623156,722696,6815238,-2297.55,USD,2026-12-15T00:00:00
5343246,315392,2046375,-269.16,CAD,2026-12-15T00:00:00
1668645,846787,2508241,-1099.08,CAD,2026-12-15T00:00:00
3206844,157861,1115714,-3611.14,USD,2026-12-15T00:00:00
6072104,270647,1980132,-1834.82,CAD,2026-12-15T00:00:00
7514591,273551,9456165,1294.02,USD,2026-12-15T00:00:00
5697977,572611,2600946,4570.2,USD,2026-12-15T00:00:00
4289065,554248,2179204,1163.02,CAD,2026-12-15T00:00:00
2748334,104473,5581185,1139.92,USD,2026-12-15T00:00:00
2617958,248433,5493058,3333.86,USD,2026-12-15T00:00:00
5383521,490987,9059580,4975.76,CAD,2026-12-15T00:00:00
5212106,761230,9060928,394.07,CAD,2026-12-15T00:00:00
2335158,535038,8201083,-2889.17,USD,2026-12-15T00:00:00
1534388,179049,3679950,-4722.06,USD,2026-12-15T00:00:00
8486401,197829,4576565,-4339.1,USD,2026-12-15T00:00:00
4487447,122777,7398754,1894.05,USD,2026-12-15T00:00:00
3816331,739307,2632442,-2970.23,CAD,2026-12-15T00:00:00
9334917,639355,4902983,721.29,CAD,2026-12-15T00:00:00
6278804,874774,4905828,-1528.45,CAD,2026-12-15T00:00:00
7096687,492317,9351277,1576.72,USD,2026-12-15T00:00:00
4943805,840056,2196844,3433.3,CAD,2026-12-15T00:00:00
4733153,304353,9899948,3849.48,USD,2026-12-15T00:00:00
9366186,777536,1559152,1200.84,CAD,2026-12-15T00:00:00
3363370,778407,6028098,-2507.9,USD,2026-12-15T00:00:00
4252062,638328,8552773,-167.03,CAD,2026-12-15T00:00:00
2722119,674928,3033033,-243.82,USD,2026-12-15T00:00:00
7518903,599335,3336894,-4797.28,CAD,2026-12-15T00:00:00
1107709,485970,1018426,-93.94,CAD,2026-12-15T00:00:00
4958319,545103,4196677,-3859.84,USD,2026-12-15T00:00:00
8091539,654795,6619511,-2662.9,USD,2026-12-15T00:00:00
2684938,559219,4762160,3725.73,CAD,2026-12-15T00:00:00
7605550,953504,8475518,-2934.4,CAD,2026-12-15T00:00:00
5378111,114766,6873997,2145.81,CAD,2026-12-15T00:00:00
8024417,541664,6850143,-4159.73,CAD,2026-12-15T00:00:00
4150955,326542,1727946,-2126.75,USD,2026-12-15T00:00:00
5019654,198952,1139986,-3608.9,CAD,2026-12-15T00:00:00
4149315,323570,2047932,666.19,USD,2026-12-15T00:00:00
6840177,760414,1128733,-1354.46,USD,2026-12-15T00:00:00
8933100,866453,2718927,1722.6,USD,2026-12-15T00:00:00
5491505,340096,8876085,1535.42,USD,2026-12-15T00:00:00
4410621,347457,2490517,-4664.87,USD,2026-12-15T00:00:00
4119358,476663,8214084,297.09,CAD,2026-12-15T00:00:00
2194195,581911,5706867,-2716.18,USD,2026-12-15T00:00:00
4490380,213826,4736428,3360.43,USD,2026-12-15T00:00:00
6826184,423587,6933269,25.03,CAD,2026-12-15T00:00:00
8178042,601668,1095679,-4022.74,USD,2026-12-15T00:00:00
2579708,673384,2621527,-2539.87,CAD,2026-12-15T00:00:00
8033786,785463,9176567,-3865.96,CAD,2026-12-15T00:00:00
4645791,174025,3082385,414.53,CAD,2026-12-15T00:00:00
9993624,620378,3733336,551.51,USD,2026-12-15T00:00:00
4446712,629787,7460794,-804.08,CAD,2026-12-15T00:00:00
7904284,151629,6161214,217.16,USD,2026-12-15T00:00:00
1993918,261090,8531275,-2096.44,CAD,2026-12-15T00:00:00
6479157,677882,9194900,-4724.83,CAD,2026-12-15T00:00:00
5855855,361449,7209324,-3932.3,CAD,2026-12-15T00:00:00
5435650,563754,7170318,2418.15,USD,2026-12-15T00:00:00
7686993,227327,5690361,3670.64,CAD,2026-12-15T00:00:00
6818446,563924,6787468,-4919.1,CAD,2026-12-15T00:00:00
4453472,825843,7621446,1039.08,USD,2026-12-15T00:00:00
3557315,879706,8188465,-79.4,CAD,2026-12-15T00:00:00
2838681,324341,5382576,-19.17,CAD,2026-12-15T00:00:00
8521656,889964,1570459,-4907.94,CAD,2026-12-15T00:00:00
7048583,299548,3469596,1196.4,CAD,2026-12-15T00:00:00
5724229,645024,8421651,-306.89,USD,2026-12-15T00:00:00
7961452,712043,5189896,2679.21,CAD,2026-12-15T00:00:00
7363030,382873,3918525,4477.4,CAD,2026-12-15T00:00:00
9593528,639307,8138849,4370.96,CAD,2026-12-15T00:00:00
8718580,670995,7349237,-1701.27,USD,2026-12-15T00:00:00
8361877,655856,4690051,-1191.77,USD,2026-12-15T00:00:00
6353691,307927,8935217,4706.75,CAD,2026-12-15T00:00:00
5143186,279061,2239706,3165.37,CAD,2026-12-15T00:00:00
3345107,723508,7888421,2019.84,USD,2026-12-15T00:00:00
1122587,694948,2964264,2091.61,USD,2026-12-15T00:00:00
6626647,345527,4353209,1656.93,USD,2026-12-15T00:00:00
6601637,186801,7384029,-2604.23,CAD,2026-12-15T00:00:00
5915599,226634,9043402,-4528.21,USD,2026-12-15T00:00:00
7395658,156885,8476467,-3493.63,CAD,2026-12-15T00:00:00
8016197,371489,1863899,-3760.3,CAD,2026-12-15T00:00:00
3661907,239572,9920789,-4436.26,USD,2026-12-15T00:00:00
6243655,672580,4845824,1992.59,CAD,2026-12-15T00:00:00
